"n1" "eventr" "CoxTPR" "CoxTNR" "LogitTPR" "LogitTNR" "TCoxTPR" "TCoxTNR"
27059 0.197050888798551 0.66 0.999966555183947 0.65 0.999966555183947 0.66 0.999966555183947
26127 0.324223982852987 0.74 1 0.7 1 0.74 1
26821 0.228813243354088 0.78 0.999966555183947 0.76 1 0.78 0.999966555183947
26266 0.299817254245032 0.75 1 0.72 0.999966555183947 0.75 1
27172 0.157956720153099 0.66 1 0.64 1 0.66 1
25444 0.390779751611382 0.76 1 0.72 1 0.76 1
26961 0.202403471681317 0.76 1 0.68 0.999966555183947 0.76 1
27294 0.120429398402579 0.58 1 0.57 1 0.58 1
26974 0.188996811744643 0.7 1 0.66 1 0.7 1
26307 0.306154255521344 0.72 1 0.69 1 0.73 1
26166 0.322326683482382 0.69 1 0.66 1 0.69 1
26587 0.272426373791703 0.76 1 0.72 1 0.76 1
25651 0.367198159915793 0.79 1 0.77 1 0.79 1
26640 0.251463963963964 0.72 1 0.67 1 0.72 1
26573 0.269822752417868 0.75 1 0.71 1 0.75 1
26403 0.29848880808999 0.75 1 0.7 1 0.74 1
26436 0.273036768043577 0.81 1 0.75 1 0.82 1
26402 0.282251344595106 0.78 1 0.75 1 0.78 1
25944 0.341504779525131 0.77 1 0.7 1 0.77 1
26745 0.239147504206394 0.73 1 0.7 1 0.73 1
24566 0.4542049987788 0.77 1 0.72 1 0.77 1
25608 0.390151515151515 0.85 1 0.76 1 0.85 1
27235 0.145988617587663 0.65 1 0.62 1 0.65 1
27170 0.182186234817814 0.75 1 0.71 1 0.76 1
26931 0.209498347629126 0.78 1 0.73 1 0.78 1
26379 0.282459532203647 0.75 1 0.71 1 0.75 1
26867 0.214798823835933 0.81 1 0.72 1 0.8 1
26691 0.252819302386572 0.73 1 0.71 1 0.73 1
25544 0.371515815847166 0.75 1 0.68 1 0.74 1
27088 0.145045776727702 0.69 1 0.66 1 0.69 1
26084 0.33073915043705 0.67 1 0.67 1 0.67 1
27060 0.189209164818921 0.68 1 0.63 1 0.68 1
26647 0.263069013397381 0.76 1 0.71 1 0.76 1
26929 0.192023469122507 0.76 1 0.7 1 0.76 1
26578 0.263149973662428 0.8 0.999966555183947 0.78 0.999966555183947 0.8 0.999966555183947
26399 0.291601954619493 0.8 1 0.74 1 0.8 1
26967 0.20636333296251 0.75 1 0.72 1 0.75 1
27119 0.166082820162985 0.73 1 0.7 1 0.73 1
26458 0.286491798321869 0.73 1 0.69 1 0.74 1
25614 0.387483407511517 0.73 1 0.64 1 0.72 1
